Aspect Ratio,Circularity,Convexity,Solidity,Rectangularity,Herbal
0.439490446,0.443628798,1.106666667,0.982631874,1.237314754,Akapulko
0.462068966,0.554242223,1.013033175,0.990294244,1.20526022,Akapulko
0.504983389,0.56558241,1.017738359,0.985399184,1.20625379,Akapulko
0.469594595,0.551364667,1.014976959,0.987273149,1.208163265,Akapulko
0.491467577,0.581962009,1.006896552,0.98886972,1.187236198,Akapulko
0.51953125,0.580936456,1.007751938,0.987327553,1.210552514,Akapulko
0.507462687,0.568530182,1.004975124,0.991640368,1.233977723,Akapulko
0.52189781,0.548725465,1.044471154,0.980348436,1.18823351,Akapulko
0.451263538,0.492191596,1.078553616,0.985307467,1.181498669,Akapulko
0.502262443,0.565538391,1.022727273,0.985864705,1.196342356,Akapulko
0.553299492,0.565719629,1.024671053,0.984228018,1.228924627,Akapulko
0.532663317,0.576720353,1.01980198,0.986104079,1.203445915,Akapulko
0.6,0.565553046,1.014388489,0.984458809,1.283528919,Akapulko
0.639455782,0.571441913,1.014583333,0.984122639,1.281223922,Akapulko
0.577181208,0.56448661,1.010683761,0.984329089,1.275024876,Akapulko
0.653225806,0.598859455,1.009756098,0.981376907,1.229676787,Akapulko
0.32586558,0.411997325,1.035439137,0.987988389,1.326534058,Bayabas
0.376218324,0.405867845,1.077304965,0.986301914,1.328569703,Bayabas
0.387096774,0.409599016,1.07361516,0.985933557,1.346568253,Bayabas
0.38902148,0.442745483,1.04130809,0.989127725,1.323995813,Bayabas
0.328846154,0.396233143,1.04862119,0.985377535,1.350587806,Bayabas
0.364016736,0.404629524,1.046153846,0.982448037,1.396534354,Bayabas
0.371681416,0.404958117,1.064724919,0.977904715,1.360616377,Bayabas
0.404157044,0.422261145,1.040429043,0.983797319,1.418157658,Bayabas
0.476047904,0.482320666,1.013238289,0.984557585,1.397563094,Bayabas
0.398533007,0.446698698,1.034210526,0.987805366,1.34920667,Bayabas
0.449494949,0.453057251,1.052356021,0.986937946,1.344241661,Bayabas
0.412935323,0.444646553,1.041519435,0.986382962,1.356755108,Bayabas
0.388505747,0.45222045,1.03820598,0.98664678,1.307421437,Bayabas
0.349137931,0.411512109,1.0512,0.984348886,1.329442352,Bayabas
0.365853659,0.438929266,1.030597015,0.988837265,1.329430308,Bayabas
0.391705069,0.440836974,1.050664452,0.986850664,1.314284696,Bayabas
0.371764706,0.416136798,1.062822719,0.986966292,1.329492358,Bayabas
0.420634921,0.430268531,1.042910448,0.982078113,1.404350772,Bayabas
0.354330709,0.441927379,1.008754864,0.988447465,1.360066635,Bayabas
0.438953488,0.462663792,1.041497976,0.987361649,1.33244408,Bayabas
0.416201117,0.441964787,1.034653465,0.983911874,1.388861405,Bayabas
0.395833333,0.457640314,1.025695931,0.98726886,1.337043353,Bayabas
0.392330383,0.427301079,1.034042553,0.984523919,1.403442694,Bayabas
0.382089552,0.41542669,1.044372294,0.98357775,1.392886146,Bayabas
0.394658754,0.447098663,1.019230769,0.983806283,1.384175906,Bayabas
0.505703422,0.498900567,1.015189873,0.985984015,1.369791667,Bayabas
0.428571429,0.469106419,1.007537688,0.987050892,1.399358627,Bayabas
0.497512438,0.506509296,1.018394649,0.985561709,1.344571543,Bayabas
0.427927928,0.47626011,1.004769475,0.986510264,1.393182719,Bayabas
0.450867052,0.502854674,1.002008032,0.98487694,1.354275391,Bayabas
0.526570048,0.495455788,1.011146497,0.981782252,1.419235124,Niyog-Niyogan
0.497797357,0.428691953,1.050147493,0.96836329,1.483231178,Niyog-Niyogan
0.474074074,0.4372936,1.06281407,0.973537114,1.387617442,Niyog-Niyogan
0.523131673,0.495023062,1.028169014,0.975569612,1.366469284,Niyog-Niyogan
0.443089431,0.436956015,1.009873061,0.95947037,1.504207338,Niyog-Niyogan
0.428571429,0.413501592,1.02638191,0.964475475,1.529775997,Niyog-Niyogan
0.560126582,0.507078187,1.014198783,0.978609885,1.3861023,Niyog-Niyogan
0.491620112,0.441998615,1.05258216,0.953963698,1.425520362,Niyog-Niyogan
0.428571429,0.455668406,1.014938489,0.974240715,1.410476919,Niyog-Niyogan
0.48265896,0.486825347,1.015640274,0.981322008,1.381650367,Niyog-Niyogan
0.509695291,0.468278532,1.032228361,0.968921995,1.418467583,Niyog-Niyogan
0.434010152,0.411968358,1.044326241,0.958999115,1.480975095,Niyog-Niyogan
0.46969697,0.46609723,1.022774327,0.967867836,1.412749268,Niyog-Niyogan
0.493006993,0.475335938,1.047058824,0.979278337,1.345904813,Niyog-Niyogan
0.533333333,0.474063787,1.027514231,0.976216216,1.434673537,Niyog-Niyogan
0.425882353,0.425809416,1.021505376,0.952031831,1.48842924,Niyog-Niyogan
0.414168937,0.397263478,1.061776062,0.973036223,1.458328976,Niyog-Niyogan
0.453333333,0.463216416,1.017463235,0.979763583,1.41127247,Niyog-Niyogan
0.447643979,0.478016552,1.018115942,0.986472894,1.359232594,Niyog-Niyogan
0.487471526,0.475462745,1.022273425,0.964668125,1.401572454,Niyog-Niyogan
0.471655329,0.497560979,1.00618238,0.985363634,1.366606576,Niyog-Niyogan
0.41252302,0.443440092,1.024804178,0.969169229,1.398374358,Niyog-Niyogan
0.41697417,0.439147035,1.028683181,0.969106723,1.407646606,Niyog-Niyogan
0.478547855,0.458092589,1.026815642,0.972456924,1.427040195,Niyog-Niyogan
0.471910112,0.417104742,1.058748404,0.969031436,1.474814782,Niyog-Niyogan
0.881987578,0.378214717,1.202315325,0.925060091,1.437198776,Oregano
0.869074492,0.352676181,1.276299879,0.941046786,1.363709052,Oregano
0.814004376,0.373411503,1.19286578,0.928272785,1.469694743,Oregano
0.805869074,0.294816112,1.310776942,0.91456897,1.540306793,Oregano
0.830357143,0.362644758,1.212454212,0.928068817,1.46416805,Oregano
0.831018519,0.368195724,1.188607595,0.917206611,1.500783836,Oregano
0.860911271,0.331227898,1.261290323,0.927429229,1.486003851,Oregano
0.831134565,0.406712054,1.164502165,0.933418212,1.416007401,Oregano
0.896276596,0.314790279,1.277074543,0.922760731,1.533820752,Oregano
0.819078947,0.393780087,1.14673913,0.913163636,1.507167888,Oregano
0.821705426,0.321236839,1.324786325,0.934011359,1.391543276,Oregano
0.911016949,0.407866684,1.173719376,0.937934084,1.407216352,Oregano
0.778242678,0.347146967,1.248820755,0.930220688,1.434879442,Oregano
0.778242678,0.40647151,1.160756501,0.944267853,1.425173121,Oregano
0.768595041,0.416204302,1.16314554,0.947176844,1.383834968,Oregano
0.848039216,0.426870671,1.114666667,0.934832257,1.486542269,Oregano
0.840206186,0.450972494,1.100840336,0.942965294,1.42627757,Oregano
0.925465839,0.437664826,1.1197411,0.927379893,1.438361914,Oregano
0.901960784,0.508717407,1.041522491,0.944931083,1.439165701,Oregano
1.041666667,0.442398837,1.133196721,0.924358204,1.393275125,Oregano
0.831202046,0.364328076,1.213986014,0.936805764,1.454380022,Oregano
1.173112339,0.063856503,1.781077641,0.457739136,3.862416669,Lagundi
1.032012195,0.07510747,1.670424652,0.43803437,3.760760769,Lagundi
1.101788171,0.059394283,1.694371728,0.368202831,4.595238471,Lagundi
1.154401154,0.068460384,1.609919571,0.401041766,4.40948389,Lagundi
1.167091837,0.06667061,1.507660577,0.349009627,5.163946817,Lagundi
1.1918429,0.066674197,1.615942029,0.382251102,4.488887743,Lagundi
1.157287157,0.060194822,1.921352075,0.406999046,3.520328859,Lagundi
1.089285714,0.059250169,1.633761106,0.363526612,4.966910436,Lagundi
1.037558685,0.059384734,1.914296695,0.410157562,3.613402589,Lagundi
1.087179487,0.06607858,1.695687885,0.415173506,4.150232019,Lagundi
1.090265487,0.076468742,1.786259542,0.498895523,3.223876173,Lagundi
1.229166667,0.077211049,1.721631959,0.499564007,3.398478642,Lagundi
0.954144621,0.069156782,1.855851785,0.465512918,3.304501923,Lagundi
1.031825796,0.069211092,1.700329761,0.405709264,3.924111144,Lagundi
1.194957983,0.070875244,1.695518958,0.430392562,3.827214663,Lagundi
1.086799277,0.059154718,1.785869094,0.379394337,4.15935173,Lagundi
1.266323024,0.072078529,1.622298066,0.430218976,4.086136435,Lagundi
0.983271375,0.068524673,1.759380863,0.430545112,3.709425994,Lagundi
1.198606272,0.067423296,1.663625545,0.422110306,4.184498013,Lagundi
1.12605042,0.065960771,1.786067194,0.461577283,3.719454771,Lagundi
1.089397089,0.074644078,1.675473579,0.451113666,3.756244411,Lagundi
1.080373832,0.072214152,1.700404858,0.456544584,3.766045549,Lagundi
1.143776824,0.092139118,1.557393484,0.46275702,3.509105551,Lagundi
1.115546218,0.068789404,1.805168986,0.471000691,3.500242345,Lagundi
1.10782241,0.073922826,1.733935743,0.466256527,3.531661442,Lagundi
1.114722753,0.068369624,1.746491625,0.444110518,3.76523833,Lagundi
1.164705882,0.063586246,1.774211099,0.424367892,3.909661952,Lagundi
1.08988764,0.074352938,1.711362412,0.458505969,3.611650323,Lagundi
1.1015625,0.069243267,1.594607159,0.377702683,4.45444028,Lagundi
1.180952381,0.071275319,1.716703057,0.473986144,3.713302793,Lagundi
1.152882206,0.08137865,1.681606519,0.49551697,3.395744681,Lagundi
1.131034483,0.073509537,1.709277238,0.469457231,3.643141661,Lagundi
1.100515464,0.080262477,1.624309392,0.480735326,3.704906302,Lagundi
1.118518519,0.080267352,1.625,0.484928148,3.711161906,Lagundi
1.164456233,0.068642742,1.714110429,0.446265423,3.881220393,Lagundi
1.146453089,0.066020185,1.699412707,0.434617175,4.113192305,Lagundi
1.180929095,0.063663465,1.685955056,0.395945606,4.329702363,Lagundi
1.146276596,0.063100755,1.647861128,0.370626521,4.568046003,Lagundi
1.228323699,0.074224454,1.695003245,0.482628118,3.64906447,Lagundi
1.135501355,0.065614738,1.644853875,0.370085651,4.41758336,Lagundi
0.994652406,0.059501532,1.757718121,0.379895195,4.283761315,Lagundi
1.171532847,0.075920014,1.545071609,0.397562312,4.328231878,Lagundi
1.20212766,0.072502311,1.541935484,0.387585218,4.532429357,Lagundi
1.165413534,0.07230291,1.465217391,0.354729436,5.047747307,Lagundi
1.163498099,0.08105962,1.414462081,0.368341619,4.849240781,Lagundi
1.177272727,0.076587305,1.433054393,0.362211456,4.981204651,Lagundi
1.084615385,0.076335405,1.524029575,0.382387666,4.438794043,Lagundi
1.13253012,0.070870654,1.570349386,0.379793995,4.502019619,Lagundi
1.181818182,0.072864767,1.534791252,0.394221994,4.562178977,Lagundi
1.080851064,0.070807329,1.555897436,0.399058288,4.603223568,Lagundi
0.38700565,0.29129007,1.081799591,0.877180527,1.869117817,Balbas-pusa
0.428571429,0.336175879,1.028846154,0.902407973,1.869845621,Balbas-pusa
0.388888889,0.284573611,1.102449889,0.874473031,1.839333183,Balbas-pusa
0.441860465,0.319552189,1.072580645,0.899412389,1.816296901,Balbas-pusa
0.454545455,0.320558936,1.087662338,0.922583879,1.795264894,Balbas-pusa
0.361344538,0.269347759,1.082474227,0.869714033,1.94883839,Balbas-pusa
0.387573964,0.300087648,1.057692308,0.907135382,1.891817988,Balbas-pusa
0.391812865,0.304914033,1.063157895,0.902139447,1.851486749,Balbas-pusa
0.36627907,0.306141921,1.066098081,0.917071334,1.779164272,Balbas-pusa
0.434343434,0.287985211,1.123529412,0.865716771,1.833070188,Balbas-pusa
0.428571429,0.290370139,1.105527638,0.86982306,1.877724377,Balbas-pusa
0.369491525,0.329132209,1.033498759,0.925780653,1.769285793,Balbas-pusa
0.429657795,0.354012929,1.010695187,0.919111771,1.845785976,Balbas-pusa
